SD_SYMBOL_ID,SD_SYMBOL,SD_TRADE_DATE,SD_OPEN,SD_CLOSE,SD_HIGH,SD_LOW,SD_ADJ_CLOSE,SD_TXN_VOLUME
72,ADANIENT,2024-04-18,3125.15,3019.30,3145.00,3008.30,3018.08,1703646
73,ADANIENT,2024-04-19,3000.00,3026.95,3057.05,2962.50,3025.73,1727317
74,ADANIENT,2024-04-22,3053.00,3063.35,3077.50,3025.00,3062.12,993929
75,ADANIENT,2024-04-23,3059.00,3065.10,3091.00,3043.10,3063.86,1654272
76,ADANIENT,2024-04-24,3071.95,3043.55,3087.85,3040.00,3042.32,605917
77,ADANIENT,2024-04-25,3050.00,3115.25,3120.90,3025.65,3113.99,1515529
78,ADANIENT,2024-04-26,3119.90,3080.40,3129.90,3066.05,3079.16,662764
79,ADANIENT,2024-04-29,3110.00,3081.20,3110.50,3051.50,3079.96,648544
80,ADANIENT,2024-04-30,3094.00,3054.70,3108.45,3045.00,3053.47,804552
81,ADANIENT,2024-05-02,3071.95,3039.60,3119.85,3015.05,3038.37,2219085
82,ADANIENT,2024-05-03,3030.00,2993.25,3045.00,2975.10,2992.04,1472168
83,ADANIENT,2024-05-06,2993.25,2874.65,3000.20,2850.00,2873.49,2377944
84,ADANIENT,2024-05-07,2889.95,2835.95,2905.35,2822.00,2834.81,1262311
85,ADANIENT,2024-05-08,2850.00,2860.55,2890.90,2820.00,2859.40,951411
86,ADANIENT,2024-05-09,2864.80,2766.65,2883.65,2756.00,2765.53,1485510
87,ADANIENT,2024-05-10,2794.95,2797.25,2809.00,2760.45,2796.12,2354794
88,ADANIENT,2024-05-13,2803.00,2879.60,2890.00,2790.50,2878.44,3784373
89,ADANIENT,2024-05-14,2894.95,3037.55,3046.00,2874.55,3036.33,5725807
90,ADANIENT,2024-05-15,3046.75,3049.75,3118.85,3037.60,3048.52,1688836
91,ADANIENT,2024-05-16,3065.00,3041.65,3076.95,2974.95,3040.42,1835312
92,ADANIENT,2024-05-17,3041.05,3060.50,3091.00,3015.50,3059.27,825436
93,ADANIENT,2024-05-21,3067.90,3117.50,3175.00,3034.50,3116.24,3091659
94,ADANIENT,2024-05-22,3129.95,3140.95,3145.00,3073.50,3139.68,3371077
95,ADANIENT,2024-05-23,3156.70,3387.30,3406.00,3135.55,3385.93,6979082
96,ADANIENT,2024-05-24,3406.00,3384.95,3457.85,3355.60,3383.59,3473668
97,ADANIENT,2024-05-27,3358.00,3289.05,3358.00,3267.05,3287.72,2582485
98,ADANIENT,2024-05-28,3309.65,3244.05,3329.50,3229.05,3242.74,1621168
99,ADANIENT,2024-05-29,3250.00,3258.80,3322.90,3212.00,3257.49,1910729
100,ADANIENT,2024-05-30,3254.00,3194.25,3274.30,3174.50,3192.96,1990208
101,ADANIENT,2024-05-31,3225.25,3411.35,3434.45,3225.25,3409.97,6384589
102,ADANIENT,2024-06-03,3725.00,3645.25,3743.90,3586.05,3643.78,8511359
103,ADANIENT,2024-06-04,3520.00,2941.25,3520.00,2733.95,2940.06,20306909
104,ADANIENT,2024-06-05,3030.00,3115.35,3150.00,2750.00,3114.09,8778345
105,ADANIENT,2024-06-06,3184.00,3185.65,3222.40,3137.15,3184.37,5873271
106,ADANIENT,2024-06-07,3170.40,3219.55,3233.75,3151.60,3218.25,4740455
107,ADANIENT,2024-06-10,3267.00,3220.10,3284.40,3205.50,3218.80,4935698
108,ADANIENT,2024-06-11,3224.00,3221.25,3265.00,3195.05,3219.95,4173692
109,ADANIENT,2024-06-12,3224.90,3219.05,3245.00,3208.00,3217.75,3022477
110,ADANIENT,2024-06-13,3230.00,3224.80,3254.00,3207.25,3223.50,3202978
111,ADANIENT,2024-06-14,3225.00,3261.75,3275.00,3221.10,3261.75,4224855
112,ADANIPORTS,2024-01-01,1026.55,1047.85,1057.95,1023.00,1043.37,3989711
113,ADANIPORTS,2024-01-02,1047.85,1078.40,1082.90,1031.10,1073.79,6344621
